Test ID,Function,Input,Expected Behavior
TC-M001,pyplot.plot,"x=[0, 1], y=[2, 3]",plot rendered correctly
TC-M002,pyplot.plot,"x=[0, 1], y=[0, 2]",plot rendered correctly
TC-M003,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6], y=[3, 8, 1, 10, 4, 2, 5], yerr=[0.39, 0.54, 0.45, 0.95, 0.43, 0.97, 0.19]",errorbar rendered correctly
TC-M004,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[8, 2, 0, 10, 6, 4, 2, 0, 2, 10], yerr=[0.82, 0.22, 0.74, 0.38, 0.64, 0.49, 0.64, 0.9, 0.64, 0.28]",errorbar rendered correctly
TC-M005,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[1, 9, 1, 6, 2, 7, 4, 4, 0, 9], color='#FF00FF'",scatter rendered correctly
TC-M006,pyplot.errorbar,"x=[0, 1, 2, 3, 4], y=[1, 2, 5, 10, 5], yerr=[0.99, 0.67, 0.57, 0.68, 0.96]",errorbar rendered correctly
TC-M007,pyplot.hist,"data=[7, 1, 1, 6, 0, 8, 3, 2, 2, 7, 10, 9, 8, 6, 3]",hist rendered correctly
TC-M008,pyplot.hist,"data=[9, 8, 2, 9, 8, 2, 1, 0, 4, 0, 8, 3, 10, 2, 3, 9, 7, 10, 4, 1, 2, 6, 4, 4, 8, 8, 3, 0, 5]",hist rendered correctly
TC-M009,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[2, 1, 5, 4, 3, 1, 8, 10, 7], color='green'",scatter rendered correctly
TC-M010,pyplot.imshow,array=11x11 random floats,imshow rendered correctly
TC-M011,pyplot.imshow,array=9x9 random floats,imshow rendered correctly
TC-M012,pyplot.hist,"data=[6, 10, 7, 9, 2, 6, 7, 2, 5, 9, 8, 0, 10, 8, 10, 7, 0, 5, 9, 0, 5, 10, 7, 1, 8, 7, 0, 0, 1, 4, 5, 10, 4, 0, 2]",hist rendered correctly
TC-M013,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y1=[8, 10, 10, 9, 10, 3, 3, 0, 0], y2=[15, 7, 12, 14, 5, 9, 9, 13, 7]",fill_between rendered correctly
TC-M014,pyplot.pie,"sizes=[13, 87, 78, 19]",pie rendered correctly
TC-M015,pyplot.errorbar,"x=[0, 1], y=[4, 7], yerr=[0.95, 0.19]",errorbar rendered correctly
TC-M016,pyplot.boxplot,"data=[[1, 14, 18, 5, 16, 12, 16, 14, 5], [20, 2, 17, 2, 16, 15, 9], [18, 14, 4, 4, 6, 12, 4, 15, 3, 4], [9, 13, 7, 3, 4, 18]]",boxplot rendered correctly
TC-M017,pyplot.errorbar,"x=[0, 1], y=[0, 10], yerr=[0.83, 0.92]",errorbar rendered correctly
TC-M018,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[4, 5, 8, 6, 8, 0, 7, 1, 2], color='cyan'",scatter rendered correctly
TC-M019,pyplot.hist,"data=[8, 2, 10, 2, 1, 0, 5, 3, 10, 4, 3, 4, 0, 4, 8, 4, 3, 0, 7, 7, 2, 7, 3, 7, 0, 10, 8, 1, 5, 9, 1, 3, 6, 8, 9, 2, 10, 7, 9]",hist rendered correctly
TC-M020,pyplot.boxplot,"data=[[17, 20, 6, 17, 7, 8, 1, 12, 1], [9, 14, 10, 5, 9, 9], [6, 15, 2, 5, 1, 7], [10, 14, 16, 20, 7, 7, 2, 11, 15, 20], [20, 18, 14, 11, 2]]",boxplot rendered correctly
TC-M021,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[17, 2, 14, 7]",bar rendered correctly
TC-M022,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[14, 8, 15, 19]",bar rendered correctly
TC-M023,pyplot.scatter,"x=[0, 1, 2, 3, 4], y=[7, 2, 2, 4, 5], color='cyan'",scatter rendered correctly
TC-M024,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[3, 0, 2, 10, 9, 0, 7, 4, 2, 9], color='#FF00FF'",scatter rendered correctly
TC-M025,pyplot.imshow,array=5x5 random floats,imshow rendered correctly
TC-M026,pyplot.plot,"x=[0, 1], y=[7, 3]",plot rendered correctly
TC-M027,pyplot.imshow,array=16x16 random floats,imshow rendered correctly
TC-M028,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7], y=[5, 7, 8, 7, 4, 9, 5, 4], color='#FF00FF'",scatter rendered correctly
TC-M029,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7], y=[10, 8, 1, 0, 0, 9, 9, 5], color='green'",scatter rendered correctly
TC-M030,pyplot.scatter,"x=[0, 1], y=[3, 4], color='green'",scatter rendered correctly
TC-M031,pyplot.errorbar,"x=[0, 1, 2], y=[2, 5, 3], yerr=[0.2, 0.72, 0.26]",errorbar rendered correctly
TC-M032,pyplot.plot,"x=[0, 1, 2, 3], y=[0, 2, 6, 9]",plot rendered correctly
TC-M033,pyplot.boxplot,"data=[[1, 3, 19, 16, 18, 14, 17, 4, 12]]",boxplot rendered correctly
TC-M034,pyplot.boxplot,"data=[[5, 3, 0, 16, 0, 12, 19, 6, 17, 17], [4, 5, 6, 13, 3, 18, 10, 4], [6, 10, 7, 2, 14, 13, 15, 12, 6, 16]]",boxplot rendered correctly
TC-M035,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[0, 10, 1, 5, 8, 4, 5, 9, 6, 4], color='cyan'",scatter rendered correctly
TC-M036,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[8, 7, 7, 3, 3, 0, 6, 5, 2, 1], color='#FF00FF'",scatter rendered correctly
TC-M037,pyplot.boxplot,"data=[[12, 17, 12, 0, 16, 1, 19, 16, 17]]",boxplot rendered correctly
TC-M038,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y1=[9, 8, 6, 5, 10, 4, 7, 0, 5, 10], y2=[6, 14, 13, 8, 14, 9, 13, 15, 5, 13]",fill_between rendered correctly
TC-M039,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7], y=[4, 7, 6, 10, 4, 5, 9, 2], color='red'",scatter rendered correctly
TC-M040,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'""], height=[14, 10]",bar rendered correctly
TC-M041,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7], y=[4, 0, 2, 8, 4, 9, 3, 4], color='red'",scatter rendered correctly
TC-M042,pyplot.boxplot,"data=[[5, 1, 17, 18, 19, 7, 16, 10, 7, 4], [4, 12, 16, 11, 1, 19, 8], [9, 14, 12, 19, 2, 4, 15, 5], [5, 12, 5, 1, 2, 11, 9, 20, 15, 16], [4, 10, 18, 2, 3, 1, 13, 2, 13, 0]]",boxplot rendered correctly
TC-M043,pyplot.boxplot,"data=[[19, 6, 15, 14, 7, 17], [9, 10, 9, 14, 2, 15, 2], [19, 2, 6, 7, 7, 10, 4, 14, 6, 17], [9, 14, 13, 5, 5, 18, 15, 8, 2, 0]]",boxplot rendered correctly
TC-M044,pyplot.boxplot,"data=[[18, 1, 13, 15, 0, 6, 12, 19, 2, 19], [0, 16, 6, 10, 19, 15, 18, 2], [13, 18, 18, 7, 6]]",boxplot rendered correctly
TC-M045,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5], y1=[9, 6, 9, 2, 1, 9], y2=[15, 8, 12, 13, 10, 5]",fill_between rendered correctly
TC-M046,pyplot.boxplot,"data=[[15, 16, 1, 20, 0, 15, 13], [5, 12, 3, 9, 6, 6, 9, 10], [11, 18, 20, 9, 2, 0, 7, 5, 7], [10, 17, 14, 17, 7, 5, 1], [19, 4, 6, 5, 18, 0, 14, 11]]",boxplot rendered correctly
TC-M047,pyplot.errorbar,"x=[0, 1], y=[9, 2], yerr=[0.81, 0.69]",errorbar rendered correctly
TC-M048,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5], y=[10, 9, 2, 9, 10, 0], yerr=[0.45, 0.65, 0.76, 0.81, 0.64, 0.23]",errorbar rendered correctly
TC-M049,pyplot.fill_between,"x=[0, 1, 2, 3, 4], y1=[7, 4, 1, 5, 10], y2=[6, 5, 10, 5, 8]",fill_between rendered correctly
TC-M050,pyplot.boxplot,"data=[[8, 9, 20, 18, 8, 0, 6, 6, 1, 9], [18, 6, 7, 4, 19, 10, 19, 17, 2, 18], [7, 0, 13, 4, 20, 17, 19, 2], [16, 20, 0, 15, 7, 13], [11, 8, 18, 6, 12, 0, 14, 16, 8]]",boxplot rendered correctly
TC-M051,pyplot.imshow,array=16x16 random floats,imshow rendered correctly
TC-M052,pyplot.pie,"sizes=[85, 58, 3, 95, 34]",pie rendered correctly
TC-M053,pyplot.imshow,array=14x14 random floats,imshow rendered correctly
TC-M054,pyplot.scatter,"x=[0, 1, 2, 3, 4], y=[7, 8, 6, 8, 10], color='green'",scatter rendered correctly
TC-M055,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[8, 1, 4, 12]",bar rendered correctly
TC-M056,pyplot.plot,"x=[0, 1, 2, 3, 4], y=[8, 0, 10, 6, 7]",plot rendered correctly
TC-M057,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[7, 6, 9, 2, 3]",bar rendered correctly
TC-M058,pyplot.boxplot,"data=[[1, 4, 15, 2, 17, 9, 17, 13, 20, 14], [14, 3, 4, 19, 18]]",boxplot rendered correctly
TC-M059,pyplot.pie,"sizes=[98, 20, 13]",pie rendered correctly
TC-M060,pyplot.plot,"x=[0, 1, 2], y=[9, 7, 8]",plot rendered correctly
TC-M061,pyplot.boxplot,"data=[[9, 17, 15, 16, 10, 1, 12, 19, 17], [10, 2, 5, 19, 4]]",boxplot rendered correctly
TC-M062,pyplot.pie,"sizes=[91, 39]",pie rendered correctly
TC-M063,pyplot.pie,"sizes=[49, 75]",pie rendered correctly
TC-M064,pyplot.plot,"x=[0, 1], y=[3, 7]",plot rendered correctly
TC-M065,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6], y=[3, 8, 9, 9, 7, 3, 9], color='red'",scatter rendered correctly
TC-M066,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[4, 1, 0, 0, 10, 4, 6, 9, 2, 9], yerr=[0.78, 0.6, 0.72, 0.29, 0.33, 0.14, 0.95, 0.41, 0.75, 0.4]",errorbar rendered correctly
TC-M067,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6, 7], y=[2, 0, 2, 3, 9, 9, 5, 4]",plot rendered correctly
TC-M068,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5], y1=[9, 5, 4, 4, 6, 3], y2=[14, 12, 13, 14, 11, 10]",fill_between rendered correctly
TC-M069,pyplot.boxplot,"data=[[7, 16, 10, 7, 15, 15], [20, 13, 17, 8, 8, 17, 1, 11, 20, 4], [17, 2, 18, 7, 3, 0, 6, 17, 2], [14, 18, 13, 8, 3, 4], [5, 4, 6, 12, 13, 9, 12]]",boxplot rendered correctly
TC-M070,pyplot.boxplot,"data=[[17, 17, 3, 12, 12, 0, 6, 15, 16], [2, 8, 2, 6, 13, 1, 0, 8, 18, 19], [7, 3, 20, 13, 2, 0, 9], [20, 3, 0, 8, 14]]",boxplot rendered correctly
TC-M071,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6], y=[5, 1, 10, 0, 8, 8, 0], color='#FF00FF'",scatter rendered correctly
TC-M072,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[4, 10, 3, 7, 0, 7, 7, 2, 7, 7], yerr=[0.87, 0.3, 0.75, 0.26, 0.39, 0.93, 0.74, 0.45, 0.71, 0.56]",errorbar rendered correctly
TC-M073,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[9, 10, 10, 1, 6, 10, 5, 4, 0, 7], yerr=[0.93, 0.9, 0.67, 0.16, 0.91, 0.43, 0.33, 0.48, 0.7, 0.65]",errorbar rendered correctly
TC-M074,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'""], height=[3, 6, 5]",bar rendered correctly
TC-M075,pyplot.hist,"data=[10, 5, 5, 0, 1, 4, 0, 10, 6, 8, 1, 1, 7, 3, 10, 3, 0, 3, 6, 9, 1, 4, 1, 1, 3, 9, 10, 3, 7, 4, 4, 3, 5, 6, 9, 7, 5, 0, 1, 5]",hist rendered correctly
TC-M076,pyplot.hist,"data=[4, 9, 8, 9, 2, 4, 2, 1, 0, 3, 9, 10, 3, 1, 9, 8, 7, 0, 7, 8, 1, 2, 3, 8, 3, 7, 6, 3]",hist rendered correctly
TC-M077,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y1=[6, 3, 9, 2, 5, 7, 2, 2, 2, 6], y2=[6, 11, 10, 9, 7, 14, 6, 13, 7, 8]",fill_between rendered correctly
TC-M078,pyplot.scatter,"x=[0, 1, 2], y=[5, 8, 5], color='blue'",scatter rendered correctly
TC-M079,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[6, 0, 3, 3, 10, 0, 10, 0, 2, 9], yerr=[0.5, 0.34, 0.25, 0.58, 0.44, 0.76, 0.95, 0.2, 0.63, 0.47]",errorbar rendered correctly
TC-M080,pyplot.fill_between,"x=[0, 1, 2, 3, 4], y1=[0, 3, 6, 4, 10], y2=[6, 13, 9, 13, 8]",fill_between rendered correctly
TC-M081,pyplot.fill_between,"x=[0, 1, 2, 3, 4], y1=[7, 0, 6, 3, 6], y2=[13, 13, 7, 9, 14]",fill_between rendered correctly
TC-M082,pyplot.imshow,array=9x9 random floats,imshow rendered correctly
TC-M083,pyplot.plot,"x=[0, 1, 2, 3], y=[0, 10, 4, 3]",plot rendered correctly
TC-M084,pyplot.imshow,array=8x8 random floats,imshow rendered correctly
TC-M085,pyplot.fill_between,"x=[0, 1, 2, 3, 4], y1=[0, 9, 0, 6, 9], y2=[15, 12, 6, 5, 12]",fill_between rendered correctly
TC-M086,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'""], height=[10, 3]",bar rendered correctly
TC-M087,pyplot.imshow,array=20x20 random floats,imshow rendered correctly
TC-M088,pyplot.errorbar,"x=[0, 1, 2, 3, 4], y=[6, 8, 6, 0, 1], yerr=[0.17, 0.13, 0.64, 0.79, 0.42]",errorbar rendered correctly
TC-M089,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[0, 6, 3, 9, 0, 10, 8, 5, 5, 7]",plot rendered correctly
TC-M090,pyplot.pie,"sizes=[72, 13, 96]",pie rendered correctly
TC-M091,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y1=[6, 9, 9, 7, 3, 1, 9, 1, 2, 2], y2=[13, 12, 5, 6, 11, 15, 14, 11, 6, 14]",fill_between rendered correctly
TC-M092,pyplot.hist,"data=[7, 2, 0, 5, 4, 10, 8, 4, 3, 2, 5, 4, 2, 8, 7, 7, 3, 6, 7, 2, 2, 2, 0, 4, 5, 8, 6, 7, 8, 1, 8, 10, 4, 7, 7, 8, 9, 9, 7, 5, 0, 10, 3]",hist rendered correctly
TC-M093,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[0, 0, 5, 4, 6, 7, 1, 1, 2, 2], color='cyan'",scatter rendered correctly
TC-M094,pyplot.boxplot,"data=[[19, 1, 13, 15, 9, 17, 15, 7, 15, 18], [8, 1, 16, 5, 3], [8, 19, 14, 18, 17, 0, 16], [7, 18, 17, 17, 0, 14, 12, 12, 12]]",boxplot rendered correctly
TC-M095,pyplot.imshow,array=9x9 random floats,imshow rendered correctly
TC-M096,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[6, 2, 10, 3, 8, 9, 1, 3, 10]",plot rendered correctly
TC-M097,pyplot.errorbar,"x=[0, 1, 2], y=[7, 1, 10], yerr=[0.73, 0.16, 0.6]",errorbar rendered correctly
TC-M098,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6, 7], y=[3, 4, 1, 8, 6, 2, 1, 8]",plot rendered correctly
TC-M099,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y=[3, 1, 10, 3, 9, 4, 10, 10, 6], yerr=[0.43, 0.6, 0.71, 0.51, 0.13, 0.19, 0.53, 0.28, 0.97]",errorbar rendered correctly
TC-M100,pyplot.hist,"data=[9, 7, 1, 3, 0, 2, 8, 8, 6, 7, 10, 4, 10, 8, 5, 2, 1, 10, 0, 2, 9, 8, 5, 7, 1, 9, 9, 8]",hist rendered correctly
TC-M101,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'""], height=[10, 9, 18, 3]",bar rendered correctly
TC-M102,pyplot.boxplot,"data=[[18, 10, 15, 6, 8, 9, 18, 19, 9], [1, 1, 3, 9, 8, 3, 9, 1], [20, 6, 20, 10, 11, 1, 20, 14]]",boxplot rendered correctly
TC-M103,pyplot.plot,"x=[0, 1, 2, 3, 4, 5], y=[4, 2, 0, 6, 0, 1]",plot rendered correctly
TC-M104,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y1=[1, 4, 8, 3, 5, 6, 4, 9, 6, 9], y2=[12, 12, 7, 11, 11, 15, 6, 15, 9, 12]",fill_between rendered correctly
TC-M105,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6], y=[7, 5, 10, 6, 6, 6, 8], yerr=[0.87, 0.52, 0.63, 0.65, 0.57, 0.32, 0.64]",errorbar rendered correctly
TC-M106,pyplot.scatter,"x=[0, 1, 2, 3, 4], y=[4, 0, 0, 10, 9], color='blue'",scatter rendered correctly
TC-M107,pyplot.hist,"data=[8, 2, 6, 3, 9, 5, 6, 3, 2, 6, 8, 9, 4, 4, 10, 7, 6, 8, 6, 2, 5, 7, 5, 9, 9, 5, 9, 7, 4, 2, 3, 8, 4, 8, 5, 4, 0]",hist rendered correctly
TC-M108,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'"", ""'Cat3'"", ""'Cat4'""], height=[13, 8, 8, 12, 15]",bar rendered correctly
TC-M109,pyplot.plot,"x=[0, 1], y=[7, 1]",plot rendered correctly
TC-M110,pyplot.imshow,array=7x7 random floats,imshow rendered correctly
TC-M111,pyplot.hist,"data=[10, 4, 1, 6, 6, 10, 4, 1, 5, 10, 1, 2, 3, 5, 4, 4, 6, 7, 9, 2, 6, 5, 9, 7, 5, 10, 0, 7, 4, 4, 6, 4, 7, 9, 5, 5, 3, 1]",hist rendered correctly
TC-M112,pyplot.scatter,"x=[0, 1, 2, 3], y=[10, 4, 2, 3], color='#FF00FF'",scatter rendered correctly
TC-M113,pyplot.errorbar,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9], y=[5, 0, 0, 4, 8, 10, 8, 1, 8, 9], yerr=[0.22, 0.56, 0.28, 0.69, 0.67, 0.45, 0.97, 0.69, 0.39, 0.71]",errorbar rendered correctly
TC-M114,pyplot.scatter,"x=[0, 1, 2, 3, 4, 5, 6], y=[7, 1, 0, 8, 2, 9, 10], color='cyan'",scatter rendered correctly
TC-M115,pyplot.bar,"x=[""'Cat0'"", ""'Cat1'"", ""'Cat2'""], height=[19, 13, 14]",bar rendered correctly
TC-M116,pyplot.imshow,array=12x12 random floats,imshow rendered correctly
TC-M117,pyplot.pie,"sizes=[37, 51, 74, 65, 80]",pie rendered correctly
TC-M118,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7, 8], y1=[7, 8, 4, 0, 0, 7, 6, 8, 4], y2=[15, 7, 6, 9, 15, 5, 10, 9, 13]",fill_between rendered correctly
TC-M119,pyplot.plot,"x=[0, 1], y=[1, 10]",plot rendered correctly
TC-M120,pyplot.pie,"sizes=[19, 53, 10]",pie rendered correctly
TC-M121,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6], y1=[3, 1, 8, 0, 0, 3, 8], y2=[15, 5, 14, 5, 11, 6, 9]",fill_between rendered correctly
TC-M122,pyplot.boxplot,"data=[[3, 18, 4, 5, 6], [17, 0, 17, 9, 1, 8, 9, 16, 2, 13]]",boxplot rendered correctly
TC-M123,pyplot.fill_between,"x=[0, 1, 2, 3, 4, 5, 6, 7], y1=[8, 3, 6, 2, 1, 10, 1, 9], y2=[14, 10, 6, 12, 15, 15, 15, 10]",fill_between rendered correctly
TC-M124,pyplot.hist,"data=[0, 3, 4, 10, 3, 0, 9, 1, 4, 4, 6, 1, 5, 6, 4, 0, 8, 7, 3, 9, 5, 7, 8, 1, 2, 6, 0, 8, 8, 1, 3, 5, 6, 3, 9, 1, 3, 3, 1, 6, 3, 5, 1, 9, 2, 2]",hist rendered correctly
TC-M125,pyplot.pie,"sizes=[96, 84]",pie rendered correctly
TC-M126,pyplot.plot,"x=[0, 1, 2, 3, 4, 5], y=[1, 4, 4, 1, 5, 2]",plot rendered correctly
TC-M127,pyplot.plot,"x=[0, 1, 2, 3, 4, 5, 6], y=[6, 9, 2, 9, 0, 4, 9]",plot rendered correctly
TC-M128,pyplot.plot,"x=[0, 1, 2, 3, 4, 5], y=[7, 2, 5, 6, 2, 4]",plot rendered correctly
TC-M129,pyplot.hist,"data=[3, 6, 6, 8, 6, 9, 8, 1, 6, 1, 0, 6, 3, 2, 1, 5, 4, 3, 3, 8, 4, 10, 1, 2, 2, 9, 9, 9, 2, 2, 8, 0, 8, 4, 9, 7, 2, 1]",hist rendered correctly
